Species,Trait,"Control,23°C","CORT,23°C","Control,28°C","CORT,28°C"
L. delicata,Eggs (Died),16,21,17,32
L. delicata,Eggs (Hatched),152,145,149,141
L. delicata,Egg Mortality,9.50%,12.70%,10.20%,18.50%
L. delicata,Egg Mass (Died),"0.126
± 0.032","0.138
± 0.024","0.142
± 0.039","0.137
± 0.03"
L. delicata,Egg Mass (Hatched),"0.145
± 0.027","0.146
± 0.026","0.146
± 0.024","0.147
± 0.022"
L. delicata,Hatchling Mass (g),"0.112
± 0.013","0.108
± 0.013","0.106
± 0.012","0.105
± 0.012"
L. guichenoti,Eggs (Died),7,9,8,12
L. guichenoti,Eggs (Hatched),134,127,131,132
L. guichenoti,Egg Mortality,5%,6.60%,5.80%,8.30%
L. guichenoti,Egg Mass (Died),"0.132
± 0.026","0.182
± 0.059","0.176
± 0.046","0.169
± 0.043"
L. guichenoti,Egg Mass (Hatched),"0.184
± 0.027","0.186
± 0.029","0.185
± 0.029","0.188
± 0.035"
L. guichenoti,Hatchling Mass (g),"0.142
± 0.016","0.14
± 0.015","0.14
± 0.017","0.137
± 0.017"
